Activity Date,Distance,Elapsed Time,Pace_sec_per_km,Elev_gain_per_km,Workload_7d,Workload_Change_%,Injury_Risk,Recovery_Flag,VO2max_est,Calories
2022-09-10 02:55:40,99.99,14090,140914.0914091409,2190.2190219021904,0.51167,16.86766250970718,0,1,40.561,2119.0
2022-09-13 03:45:22,48.81,7167,146834.66502765828,0.0,0.46209,-9.68983915414231,0,0,40.561,921.0
2022-09-17 00:42:39,95.46,13222,138508.27571757807,1990.3624554787348,0.49416,6.940206453288318,0,1,40.5745,2057.0
2022-09-20 21:21:12,31.8,3700,116352.20125786163,0.0,0.47596,-3.6830176461065234,0,1,40.58800000000001,511.0
2022-09-22 04:04:50,29.43,4003,136017.669045192,373.7682636765205,0.39794999999999997,-16.39003277586352,0,1,40.6015,603.0
2022-09-23 00:35:50,46.35,7048,152060.40992448758,1790.722761596548,0.38353,-3.6235708003518003,0,0,40.6015,702.0
2022-09-23 23:16:35,51.2,7874,153789.0625,3242.1875,0.40304,5.08695538810524,0,0,40.6015,1090.0
2022-09-27 00:15:42,112.54,14237,126506.13115336769,88.8572951839346,0.41559,3.113834855101232,0,1,40.615,2368.0
2022-09-30 23:50:43,38.95,5350,137355.5840821566,154.04364569961487,0.40573,-2.372530619119814,0,1,40.642,770.0
2022-10-02 01:47:25,54.77,7078,129231.33102063171,146.06536425050209,0.36504000000000003,-10.028836911246383,0,1,40.642,1216.0
2022-10-03 23:09:13,52.3,6957,133021.03250478013,191.20458891013385,0.38554,5.61582292351522,0,1,40.6555,1116.0
2022-10-07 23:57:15,125.96,17293,137289.61575103208,1468.720228644014,0.48207,25.037609586553927,0,1,40.669000000000004,2565.0
2022-10-09 01:25:48,30.14,4938,163835.43463835435,497.677504976775,0.46586,-3.3625821976061574,0,0,40.682500000000005,531.0
2022-10-10 23:37:29,45.39,5863,129169.42057721966,264.37541308658297,0.46004999999999996,-1.2471557978791992,0,1,40.682500000000005,1009.0
2022-10-13 23:26:46,40.56,6532,161045.36489151875,1676.5285996055227,0.38807,-15.646125421149861,0,0,40.696000000000005,847.0
2022-10-14 23:29:06,136.25,19316,141768.80733944953,2847.7064220183483,0.48537,25.07279614502538,0,1,40.7095,2754.0
2022-10-18 04:34:52,40.97,5265,128508.66487673907,146.4486209421528,0.47157,-2.843191791828921,0,1,40.723000000000006,883.0
2022-10-19 22:44:21,55.42,7966,143738.72248285817,162.3962468422952,0.47469000000000006,0.6616196959094233,0,1,40.723000000000006,1037.0
2022-10-22 02:33:18,52.29,7024,134327.78733983554,57.37234652897304,0.40102,-15.519602266742519,0,1,40.75,923.0
2022-10-23 00:22:25,45.01,5674,126060.87536103088,244.39013552543878,0.41589,3.7080444865592725,0,1,40.75,958.0
2022-10-26 23:19:06,42.12,5906,140218.4235517569,261.15859449192783,0.41262000000000004,-0.7862655990766644,0,1,40.7635,796.0
2022-10-28 23:01:54,139.09,19413,139571.50046732332,1452.297073837084,0.51115,23.879113954728307,0,1,40.777,2716.0
2022-10-31 23:14:46,59.21,7947,134217.19304171592,3310.251646681304,0.43411,-15.071896703511689,0,1,40.7905,1269.0
2022-11-02 22:51:05,31.73,4415,139142.76709738417,220.6114087614245,0.42486999999999997,-2.12849277832808,0,1,40.804,649.0
2022-11-04 22:41:14,156.53,20837,133118.25209225068,3053.727719925893,0.5259799999999999,23.79786758302538,0,1,40.804,3151.0
2022-11-07 22:33:13,59.43,7186,120915.36261147569,50.47955577990914,0.53312,1.3574660633484443,0,1,40.8175,1232.0
2022-11-14 22:22:19,52.23,7528,144131.72506222478,3101.6657093624353,0.54034,1.3542917166866753,0,1,40.858000000000004,1162.0
2022-11-16 22:23:27,40.09,5754,143527.06410576202,274.38263906211023,0.53831,-0.3756893807602782,0,1,40.871500000000005,787.0
2022-11-18 23:14:29,107.44,15514,144396.87267311988,1935.96425912137,0.50666,-5.879511805465245,0,1,40.871500000000005,2340.0
2022-11-22 00:15:12,54.47,7362,135156.96713787407,73.43491830365339,0.5019199999999999,-0.9355386255082457,0,1,40.8985,1146.0
2022-11-23 23:26:28,45.43,5784,127316.75104556461,308.1664098613251,0.51562,2.729518648390191,0,1,40.8985,615.0
2022-11-26 20:07:48,10.96,1626,148357.66423357662,1916.0583941605837,0.37005,-28.23203134090997,0,0,40.912,150.0
2022-11-26 22:22:21,20.5,1925,93902.43902439025,1697.5603801448194,0.33112,-10.520199972976615,0,1,40.912,394.0
2022-11-29 03:53:22,45.13,6920,153334.81054730777,66.47462884998892,0.32402000000000003,-2.1442377385841973,0,0,40.92550000000001,582.0
2022-11-30 23:25:28,36.91,4353,117935.51882958549,298.0222162015714,0.32084,-0.9814208999444528,0,1,40.939,555.0
2022-12-02 06:36:02,21.69,2824,130198.24804057169,138.31258644536652,0.23509000000000002,-26.72671736691185,0,1,40.9525,289.0
2022-12-04 00:16:35,180.08,19142,106297.2012438916,0.0,0.3607,53.43060104640776,1,1,40.9525,4325.0
2022-12-09 00:27:02,29.33,3812,129969.3146948517,818.2748039549949,0.3446000000000001,-4.463543110618227,0,1,40.9795,463.0
2022-12-10 20:23:43,13.24,1913,144486.40483383686,1132.930513595166,0.34688,0.6616366802089229,0,1,40.9795,169.0
2022-12-10 22:23:33,19.65,1845,93893.12977099238,4040.712545846255,0.34603,-0.24504151291513415,0,1,40.9795,533.0
2022-12-15 01:42:25,25.0,3525,141000.0,200.0,0.3259,-5.8174146750281714,0,1,41.0065,566.0
2022-12-17 01:18:03,69.46,9758,140483.73164411174,2836.1646991074003,0.35845,9.987726296409932,0,1,41.02,1467.0
2022-12-20 01:13:04,42.24,6165,145951.70454545456,1988.6363636363637,0.379,5.7330171572046345,0,0,41.033500000000004,813.0
2022-12-22 01:47:52,34.82,4499,129207.35209649625,402.0677771395749,0.23374,-38.327176781002635,0,1,41.047000000000004,704.0
2022-12-23 22:59:16,59.56,8278,138985.89657488247,2803.8952316991267,0.26397,12.933173611705303,0,1,41.047000000000004,1197.0
2022-12-28 22:38:14,41.64,5803,139361.1911623439,1897.2142170989432,0.29236999999999996,10.758798348297148,0,1,41.074000000000005,882.0
2022-12-29 21:46:47,29.02,3919,135044.7966919366,241.2129565816678,0.30173999999999995,3.2048431781646514,0,1,41.074000000000005,536.0
2022-12-31 02:28:14,84.74,12057,142282.27519471323,2124.144441822044,0.36148,19.798502021608034,0,1,41.087500000000006,1732.0
2023-01-03 03:23:59,28.34,4007,141390.26111503175,317.57233592095974,0.32036000000000003,-11.375456456788752,0,1,41.101,551.0
2023-01-05 01:05:12,40.47,6118,151173.7089201878,3508.7719298245615,0.31859000000000004,-0.5525034336371563,0,0,41.1145,643.0
2023-01-07 01:47:58,28.72,3914,136281.33704735377,208.91364902506965,0.31249,-1.9146865877774095,0,1,41.1145,572.0
2023-01-09 23:31:29,69.08,9552,138274.46438911406,2460.914881297047,0.32201,3.0464974879196225,0,1,41.1145,1399.0
2023-01-12 01:12:53,68.55,9534,139080.96280087528,2509.1174325309994,0.34892,8.356883326604759,0,1,41.1145,1351.0
2023-01-23 23:55:49,45.4,5807,127907.48898678416,198.23788546255508,0.3653,4.694485842026827,0,1,41.1145,867.0
2023-01-25 23:23:55,44.77,5742,128255.52825552825,223.36385972749608,0.32533,-10.941691760197099,0,1,41.1145,892.0
2023-01-31 00:21:02,61.17,7423,121350.33513160046,212.52247833905508,0.35816,10.091291918974571,0,1,41.1145,1263.0
2023-02-01 23:51:21,45.17,5773,127806.06597299092,332.0788133717069,0.36285999999999996,1.3122626758990346,0,1,41.1145,913.0
2023-02-07 00:38:51,60.48,7843,129679.2328042328,181.8783068783069,0.39462,8.75268698671666,0,1,41.1145,1236.0
2023-02-08 22:02:55,44.94,6009,133711.61548731642,222.51891410769915,0.37048,-6.117277380771387,0,1,41.1145,872.0
2023-02-11 22:21:28,19.11,2008,105075.87650444794,5264.259470126688,0.32104,-13.344849924422366,0,1,41.1145,784.0
