personId,date,exercise_activeDuration_in_ms,exercise_steps,exercise_calories,exercise_elevationGain,exercise_averageHeartRate,sleep_duration_in_ms,sleep_minutesAsleep,sleep_minutesAwake,sleep_efficiency
p02,2019-12-05,7513000,12600.0,1521,214.58,116.33,26520000,383,59,99.0
p02,2019-12-06,5633000,9879.0,981,165.86,107.67,19260000,283,38,91.0
p02,2019-12-07,9422000,12477.0,1414,9.14,97.0,25560000,372,54,92.0
p02,2019-12-08,9332000,14541.0,1644,466.95,109.5,24840000,351,63,94.0
p02,2019-12-09,3174000,6734.0,646,51.82,122.0,22680000,343,35,96.0
p02,2019-12-11,5223000,8893.0,774,160.12,96.0,24780000,359,54,96.0
p02,2019-12-12,11428000,14676.0,1763,217.02,100.83,25980000,355,78,91.0
p02,2019-12-13,5643000,12546.0,1196,217.93,112.0,26700000,369,76,99.0
p02,2019-12-14,4557000,7287.0,667,124.97,96.0,26820000,368,79,93.0
p02,2019-12-15,10856000,16071.0,1722,120.09,106.0,31560000,479,47,98.0
p02,2019-12-16,9524000,12855.0,1347,188.67,99.67,25980000,388,45,98.0
p02,2019-12-17,6452000,9869.0,919,158.5,95.0,26100000,391,44,99.0
p02,2019-12-18,9847000,16949.0,1881,170.69,112.33,26760000,373,73,90.0
p02,2019-12-19,4454000,6686.0,602,134.11,96.5,24060000,349,52,83.0
p02,2019-12-20,12501027,27099.0,2831,806.81,110.25,24420000,372,35,97.0
p02,2019-12-21,973000,735.0,78,0.0,79.0,26760000,397,49,93.0
p02,2019-12-22,3005000,1474.0,500,7.01,119.0,29640000,435,59,98.0
p02,2019-12-24,2612000,6522.0,652,128.02,141.0,30180000,417,86,98.0
p02,2019-12-25,6964000,9693.0,996,152.4,95.0,25680000,396,32,94.0
p02,2019-12-26,7993000,11992.0,1280,174.65,107.0,31920000,498,34,85.0
p02,2019-12-27,4199000,6557.0,626,82.3,100.0,28860000,426,55,85.0
p02,2019-12-28,5299000,10247.0,1049,112.47,117.5,28200000,414,56,91.0
p02,2019-12-29,3329000,5436.0,509,91.44,97.0,26880000,407,41,98.0
p02,2019-12-30,8127000,10091.0,1364,147.52,109.0,28860000,413,68,90.0
p02,2020-01-02,2522000,1445.0,447,9.45,120.0,30480000,425,83,95.0
p02,2020-01-03,4097000,7028.0,635,124.97,99.0,21480000,320,38,99.0
p02,2020-01-04,9012000,13602.0,1390,135.03,102.67,24420000,352,55,96.5
p02,2020-01-05,2918000,4006.0,467,0.0,104.0,32640000,464,80,99.0
p02,2020-01-06,17817000,13867.0,2784,214.88,101.0,24360000,330,76,99.0
p02,2020-01-07,5805000,11358.0,1236,34.75,118.0,25620000,381,46,93.0
p02,2020-01-08,11418000,19558.0,1989,396.24,114.5,28380000,419,54,100.0
p02,2020-01-09,4147000,6390.0,565,106.68,89.0,26760000,377,69,95.0
p02,2020-01-10,8358000,13061.0,1845,280.72,124.33,26220000,375,62,91.0
p02,2020-01-12,9844000,9704.0,1612,164.9,113.0,29220000,400,87,99.0
p02,2020-01-13,7746000,12341.0,1124,246.89,96.5,25200000,370,50,90.0
p02,2020-01-14,8897000,14300.0,1711,159.36,116.75,24960000,335,81,99.0
p02,2020-01-15,13997000,21004.0,2319,256.95,105.5,26880000,405,43,89.0
p02,2020-01-16,7014000,10548.0,1001,181.86,96.67,25200000,337,83,100.0
p02,2020-01-17,7898000,17105.0,1760,307.54,119.33,21360000,327,29,98.5
p02,2020-01-18,6048000,6087.0,1097,131.98,112.0,31680000,464,64,91.0
p02,2020-01-19,4044000,6893.0,586,85.34,94.0,28560000,402,74,96.0
p02,2020-01-20,5684000,10239.0,966,161.54,107.0,27480000,406,52,98.0
p02,2020-01-21,11924000,16252.0,2058,177.7,109.0,26280000,358,80,100.0
p02,2020-01-22,9299000,11495.0,1438,130.45,105.0,26220000,358,79,90.0
p02,2020-01-23,3986000,9070.0,914,74.07,134.0,19380000,278,45,93.0
p02,2020-01-24,9221000,6550.0,1493,178.0,98.75,25380000,368,55,95.0
p02,2020-01-25,1178000,1614.0,155,30.48,96.0,29160000,425,61,95.0
p02,2020-01-26,1024000,1301.0,125,24.38,88.0,19620000,291,36,89.0
p02,2020-01-28,7372000,11703.0,1082,231.65,93.67,24480000,364,44,98.0
p02,2020-01-29,7988000,12984.0,1206,246.89,92.0,26640000,370,74,95.0
p02,2020-01-30,9808000,8081.0,1469,152.1,108.0,27780000,395,68,97.0
p02,2020-01-31,5172000,8755.0,972,201.17,113.5,55200000,770,150,98.0
p02,2020-02-01,2561000,3373.0,353,0.0,82.0,29160000,416,70,99.0
p02,2020-02-02,2918000,4405.0,366,0.0,87.5,33420000,475,82,90.0
