Activity ID,Activity Date,Activity Name,Activity Type,Elapsed Time,Moving Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Gear,Filename,Competition,Athlete Weight,Bike Weight,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Max Cadence,Average Cadence,Average Heart Rate,Average Watts,Calories,Average Temperature,Total Work,Perceived Exertion,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,From Upload,Grade Adjusted Distance,Bike,Gear,Flagged,Average Elapsed Speed,Dirt Distance,Total Steps,Maximum Power 5s,Maximum Power 10s,Maximum Power 30s,Maximum Power 1.0min,Maximum Power 5.0min,Maximum Power 10.0min,Maximum Power 20.0min,Maximum Power 30.0min,Maximum Power 1.0 hr,Maximum Power 1.5 hr,Maximum Power 2.0 hr
3052123871,"28 Jan 2020, 02:11:32",Pool Swim,Swim,2730,2156.0,1600.0,154.0,21.0,FALSE,,activities/3256645704.csv.gz,FALSE,,,0.6000000238418580,0.6240000128746030,,,,,0.0,0.0,,22.0,116.0,,479.0,22.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
3052585862,"29 Jan 2020, 01:33:10",Lunch Ride,Ride,7903,7333.0,50120.6015625,134.0,22.0,FALSE,,activities/3257177281.csv.gz,FALSE,80.0,,12.0,6.831999778747560,46.0,31.0,-75.0,-57.0,11.5,0.0199518762528896,88.0,68.92608642578130,110.0,126.2376937866210,280.0,27.0,776760.0,,135.0,7904.0,,,1.0,,,,,,,,,,,,,,,,,,
3055498324,"30 Jan 2020, 03:14:04",Pool Swim,Swim,2633,2134.0,1600.0,149.0,16.0,FALSE,,activities/3260507327.csv.gz,FALSE,,,0.6000000238418580,0.6510000228881840,,,,,0.0,0.0,,21.0,109.0,,468.0,37.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
3058255072,"31 Jan 2020, 02:26:12",Pool Swim,Swim,2470,1999.0,1600.0,155.0,34.0,FALSE,,activities/3263653202.csv.gz,FALSE,,,0.699999988079071,0.6800000071525570,,,,,0.0,0.0,,24.0,128.0,,454.0,37.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
3063507030,"1 Feb 2020, 21:42:49",Elwood Triathlon Bike,Ride,2097,2097.0,20216.80078125,160.0,60.0,FALSE,Cervelo P2,activities/3269552122.csv.gz,TRUE,80.0,8.0,12.100000381469700,9.637999534606930,16.0,21.0,0.0,9.0,24.399999618530300,-0.0148391434922814,92.0,82.34831237792970,155.0,228.0792694091800,577.0,14.0,403349.0,9.0,231.0,2098.0,0.0,104.0,1.0,,6699861.0,,,,,,,,,,,,,,,,
3067247576,"3 Feb 2020, 03:42:58",Pool Swim,Swim,2443,2030.0,1600.0,150.0,29.0,FALSE,,activities/3273744381.csv.gz,FALSE,,,0.699999988079071,0.6800000071525570,,,,,0.0,0.0,,24.0,126.0,,452.0,18.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
3070002283,"4 Feb 2020, 03:50:34",Afternoon Ride,Ride,7986,7199.0,47713.0,144.0,29.0,FALSE,Cervelo P2,activities/3276835242.csv.gz,FALSE,80.0,8.0,12.100000381469700,6.6479997634887700,98.0,80.0,-14.0,12.0,18.200000762939500,0.0356297008693218,94.0,73.091796875,121.0,123.10987854003900,587.0,20.0,724249.0,,130.0,7987.0,,,1.0,,6699861.0,,,,,,,,,,,,,,,,
3072683139,"5 Feb 2020, 00:31:40",Pool Swim,Swim,2630,2176.0,1600.0,147.0,26.0,FALSE,,activities/3279800982.csv.gz,FALSE,,,0.6000000238418580,0.6079999804496770,,,,,0.0,0.0,,21.0,120.0,,481.0,19.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
3078436157,"7 Feb 2020, 00:22:14",Lunch Ride,Ride,7998,7414.0,51695.69921875,140.0,24.0,FALSE,Cervelo P2,activities/3286209492.csv.gz,FALSE,80.0,8.0,11.5,6.999000072479250,176.0,173.0,55.0,83.0,12.300000190734900,0.0077375876717269,98.0,75.4838638305664,113.0,126.36095428466800,342.0,25.0,746630.0,,137.0,7970.0,,,1.0,,6699861.0,,,,,,,,,,,,,,,,
3082169570,"8 Feb 2020, 05:07:59",Pool Swim,Swim,2731,2153.0,1600.0,147.0,24.0,FALSE,,activities/3290357341.csv.gz,FALSE,,,0.6000000238418580,0.6439999938011170,,,,,0.0,0.0,,23.0,118.0,,480.0,29.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
3084157762,"9 Feb 2020, 00:37:01",Lunch Ride,Ride,5705,5428.0,38415.3984375,139.0,20.0,FALSE,Cervelo P2,activities/3292566893.csv.gz,FALSE,80.0,8.0,10.399999618530300,7.09499979019165,23.0,13.0,-23.0,-6.0,11.800000190734900,0.0338405966758728,94.0,73.35243225097660,118.0,120.30282592773400,340.0,28.0,540973.0,,126.0,5706.0,,,1.0,,6699861.0,,,,,,,,,,,,,,,,
3087197650,"10 Feb 2020, 00:18:23",Pool Swim,Swim,2482,2042.0,1600.0,149.0,31.0,FALSE,,activities/3295958137.csv.gz,FALSE,,,0.699999988079071,0.6959999799728390,,,,,0.0,0.0,,25.0,118.0,,453.0,22.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
3089493317,"10 Feb 2020, 23:50:17",Morning Ride,Ride,6516,5820.0,43184.80078125,139.0,20.0,FALSE,Cervelo P2,activities/3298538800.csv.gz,FALSE,80.0,8.0,11.199999809265100,7.452000141143800,83.0,84.0,14.0,45.0,16.899999618530300,-0.0092625180259346,147.0,73.93195343017580,114.0,135.1837158203130,356.0,22.0,794892.0,,145.0,6457.0,,,1.0,,6699861.0,,,,,,,,,,,,,,,,
