Activity ID,Activity Date,Activity Name,Activity Type,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Filename,Athlete Weight,Elapsed Time.1,Moving Time,Distance.1,Max Speed,Elevation Gain,Elevation Low,Elevation High,Max Grade,Average Grade,Max Cadence,Average Cadence,Average Heart Rate,Calories,Relative Effort.1,Commute.1
2189889081,"7 Oct 2018, 14:21:53","Montréal, Île de Montréal",Run,4009,10.02,194.0,167.0,False,activities/2333657185.fit.gz,84.0,4009.0,3343.0,10024.2001953125,3.900000095367432,25.62903594970703,9.800000190734863,21.0,9.199999809265137,0.0,105.0,81.74752807617188,172.53907775878906,691.0,167.0,0.0
2189889125,"6 Oct 2018, 17:29:08","Montréal, Île de Montréal",Run,12903,10.11,173.0,114.0,False,activities/2333657227.fit.gz,84.0,12903.0,3470.0,10110.099609375,4.0,25.61115455627441,9.800000190734863,20.899999618530277,8.100000381469727,0.0,141.0,81.39481353759766,158.54005432128906,696.0,114.0,0.0
2189889191,"30 Sep 2018, 15:43:19","Montréal, Île de Montréal",Run,4961,8.08,188.0,175.0,False,activities/2333657293.fit.gz,84.0,4961.0,2864.0,8080.0,3.5,23.858888626098636,7.099999904632568,20.799999237060547,6.800000190734863,-0.0383663363754749,93.0,81.62989044189453,176.14944458007812,559.0,175.0,0.0
2189889198,"29 Sep 2018, 19:07:08","Montréal, Île de Montréal",Run,4895,8.28,176.0,115.0,False,activities/2333657300.fit.gz,84.0,4895.0,2897.0,8280.5,4.699999809265137,11.6766996383667,9.800000190734863,20.799999237060547,10.699999809265137,-0.1098967418074607,141.0,80.5255355834961,165.11007690429688,565.0,115.0,0.0
2189889357,"15 Sep 2018, 13:34:11","Montréal, Île de Montréal",Run,3029,5.01,176.0,50.0,False,activities/2333657455.fit.gz,84.0,3029.0,1726.0,5016.89990234375,4.400000095367432,23.7325496673584,7.099999904632568,19.899999618530277,18.100000381469727,-0.0039865253493189,82.0,70.27346801757812,156.8705596923828,304.0,50.0,0.0
2189889366,"23 Sep 2018, 11:32:56","Montréal, Île de Montréal",Run,16369,43.54,193.0,661.0,False,activities/2333657389.fit.gz,84.0,16369.0,15303.0,43548.0,4.900000095367432,133.5109100341797,8.600000381469727,60.20000076293945,11.399999618530272,0.0153853222727775,105.0,79.39678192138672,166.3572998046875,3009.0,661.0,0.0
2189889367,"16 Sep 2018, 18:00:04","Montréal, Île de Montréal",Run,7622,14.77,181.0,203.0,False,activities/2333657449.fit.gz,84.0,7622.0,5065.0,14778.599609375,4.800000190734863,4.002894878387451,18.600000381469727,21.899999618530277,3.700000047683716,-0.006089886650443,82.0,77.3385238647461,163.8915557861328,907.0,203.0,0.0
2189889524,"2 Sep 2018, 13:37:35","Washington, Smithsonian’s National Zoo & Conservation Biology Institute / Washington",Run,21049,7.33,179.0,34.0,False,activities/2333657616.fit.gz,84.0,21049.0,3139.0,7333.2998046875,4.300000190734863,6.890676021575928,44.79999923706055,67.80000305175781,4.199999809265137,-0.2127282470464706,67.0,46.858375549316406,134.4778289794922,486.0,34.0,0.0
2189889526,"4 Sep 2018, 12:00:32","Washington / Washington, National Mall",Run,4120,9.36,176.0,64.0,False,activities/2333657615.fit.gz,84.0,4120.0,3244.0,9365.7001953125,4.599999904632568,50.2723388671875,1.2999999523162842,31.200000762939453,7.400000095367432,0.096095323562622,83.0,70.57178497314453,147.92759704589844,573.0,64.0,0.0
2189889613,"18 Aug 2018, 14:41:02","Montréal, Île de Montréal",Run,3483,10.21,172.0,78.0,False,activities/2333657705.fit.gz,84.0,3483.0,3461.0,10216.2001953125,5.199999809265137,13.41196346282959,9.800000190734863,21.0,8.800000190734863,-0.0694974660873413,83.0,80.94776916503906,151.81776428222656,623.0,78.0,0.0
